node_id,name,type,terrain,ap_cost,domain,pos_x,pos_y,connections,desc,gate_domain,requires_boss,boss,final_boss
N-101,流浪星港,rest,starport,1,1,15,50,N-102|N-103|N-104,安全港湾·修复补给,,,,
N-102,商路哨站,shop,trade_route,1,1,35,30,N-101|N-105|N-106|N-115,星界商路上的贸易站,,,,
N-103,废弃信号塔,event,trade_route,1,1,35,65,N-101|N-107|N-108,古老信号塔仍在发送信号,,,,
N-104,小行星采矿带,combat,asteroid_belt,2,1,15,80,N-101|N-109,矿盗出没的危险地带,,,,
N-105,星界商路,combat,asteroid_belt,2,1,55,20,N-102|N-110|N-111,海盗伏击的高风险航线,,,,
N-106,古代观测站,story,trade_route,1,1,55,50,N-102|N-112,遗落星界的古代遗迹,,,,
N-107,浮游垃圾带,event,asteroid_belt,2,1,55,75,N-103|N-113,拾荒者的宝库,,,,
N-108,加密中继站,event,unknown_space,3,1,35,88,N-103|N-114,未知文明的数据节点,,,,
N-109,矿盗巢穴,combat,asteroid_belt,2,1,5,95,N-104,矿盗头目据点,,,,
N-110,深渊星云,combat,unknown_space,3,1,78,10,N-105,深渊生物潜伏的星云,,,,
N-111,星界漩涡,event,unknown_space,3,1,78,40,N-105,能量漩涡·风险与机遇并存,,,,
N-112,远古星门,story,asteroid_belt,2,1,70,60,N-106,星图碎片指向的传送门,,,,
N-113,废船残骸,shop,asteroid_belt,2,1,70,82,N-107,废弃商船·可能还有值钱货,,,,
N-114,星门·深渊,gate,deep_space,3,1,20,95,N-108,通往深渊裂隙的星门,2,,,
N-115,太空站招募处,crew,trade_route,1,1,30,15,N-102,帝国太空站·招募船员,,,,
N-201,裂隙前哨,rest,asteroid_belt,1,2,50,85,N-202|N-203|N-204,深渊边缘的最后一个安全站,,,,
N-202,暗物质矿区,combat,asteroid_belt,2,2,30,60,N-201|N-205,高价值·高危险,,,,
N-203,虚空风暴,event,unknown_space,3,2,70,65,N-201|N-206,能量风暴中的幸存者信号,,,,
N-204,走私者暗港,shop,deep_space,3,2,50,50,N-201|N-207|N-208|N-211,非法贸易站·物品稀有但昂贵,,,,
N-205,深渊蠕虫巢,combat,deep_space,3,2,15,45,N-202,巨型深渊蠕虫的领地,,,,
N-206,失落殖民地,story,unknown_space,3,2,85,50,N-203,被遗忘的殖民地·埋藏着秘密,,,,
N-207,裂隙观测站,event,deep_space,3,2,50,30,N-204|N-209,科学家留下的最后记录,,,,
N-208,虚空商人,shop,deep_space,3,2,75,15,N-204,虚空中的神秘商人,,,,
N-209,深渊领主巢穴,combat,deep_space,3,2,25,18,N-207,BOSS·深渊领主,,,true,
N-210,星门·太古,gate,deep_space,3,2,80,80,N-207,需击败深渊领主方可激活,3,N-209,,
N-211,贸易前哨招募,crew,trade_route,1,2,80,50,N-204,自由商盟·护卫招募,,,,
N-301,遗迹外围,rest,asteroid_belt,1,3,20,80,N-302|N-303,太古文明遗迹的外围区域,,,,
N-302,远古哨兵,combat,unknown_space,3,3,45,65,N-301|N-304,太古守卫者仍在执行程序,,,,
N-303,遗物殿堂,shop,deep_space,3,3,45,90,N-301,保存着太古遗物的殿堂,,,,
N-304,知识圣殿,story,unknown_space,3,3,65,50,N-302|N-305|N-306,蕴含宇宙真理的圣殿,,,,
N-305,虚空图书馆,event,deep_space,3,3,85,35,N-304,无尽知识的虚空图书馆,,,,
N-306,时空间隙,event,deep_space,3,3,80,70,N-304|N-307,时空裂缝·风险极高,,,,
N-307,创造者工坊,shop,deep_space,3,3,70,88,N-306|N-308,太古创造者的最后工坊,,,,
N-308,暗影王座,combat,deep_space,3,3,88,88,N-307,FINAL BOSS·暗影领主,,,,true
